Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Afghanistan,162.6421755,166.2248323,141.3653229,149.7440694,181.5987762,194.669036,205.674097,232.778698,255.0456217,284.7555276,291.6498008,311.8536176,340.8788739,341.602415,328.050456,316.0036306,317.808147,279.7217558,256.5907694,313.1403911,338.6319858,310.8467281,288.1707911,190.2631859,136.8181214,197.1080666,182.6406372,169.5610452,157.4617036,141.2040585,180.7231543,183.8891219,204.0542447,216.3286814,233.6833687,265.2463714,286.637149,386.025557,389.6041534,435.6935037,537.238236,612.7732245,649.7109776,631.0604435,596.0488982,554.0040072,526.1647092,534.020133,513.9812558,512.9101246,512.7499302,378.0828919,344.6491119
Albania,974.5544994,975.2168203,976.5211663,978.6177712,981.2658741,984.9019664,989.7498776,994.9370662,1003.163054,821.218508,728.1071246,740.3699072,749.8489518,746.5838508,726.6715995,732.8549784,747.4247622,734.5376158,754.0256351,895.9242621,651.2012838,483.6766841,458.9142253,515.173587,571.0234949,728.5321868,978.0856855,683.7266037,790.4487961,1004.179887,1096.028688,1245.20315,1394.523697,1798.084592,2343.426765,2655.143784,2962.014554,3587.70862,4364.06141,4109.893153,4093.8259,4444.126505,4259.667181,4425.430822,4586.606188,3950.390255,4117.00697,4521.752217,5268.116608,5359.239078,5288.989573,6281.046775,6655.258391
Algeria,373.6700797,380.1256659,496.9912483,624.193795,875.0239481,989.2433558,1075.725904,1225.090692,1495.734837,1827.570195,2254.727865,2287.414424,2254.731316,2354.798399,2469.340135,2614.487673,2749.815716,2727.605479,2419.476782,2223.606797,2419.907394,1781.785125,1835.838094,1858.825858,1515.220033,1473.820352,1615.900704,1630.764231,1606.66805,1599.251928,1776.36296,1764.583171,1796.672161,2117.048269,2624.793282,3131.3283,3500.134528,3971.803658,4946.563793,3898.478923,4495.921455,5473.446129,5610.733341,5519.777576,5516.229431,4197.417286,3967.200546,4134.936055,4171.795392,4021.983602,3354.157303,3700.320562,4273.922183
Andorra,5008.901637,5305.716707,6285.301526,7824.531307,9078.009005,10076.49483,9817.312977,10384.50796,11964.93917,15252.2504,15860.62332,13307.10732,12323.29053,10260.1102,9901.370028,10014.8943,13373.1376,16237.92374,18383.98667,19492.10321,24305.21728,25265.66575,26727.5463,21541.3045,21094.16856,23701.62707,24144.35037,23096.08682,23525.23213,23894.61628,21620.41639,22809.10155,24785.00608,31954.15353,37630.69491,39583.986,43084.24623,50562.82925,53721.434,49750.66724,48190.90873,51360.92266,44904.88128,44735.00477,45619.78255,38869.87078,39904.13818,40632.20642,42904.82258,41328.63408,37207.17564,42065.97076,42293.29708
Angola,631.5149393,648.9108964,644.6596126,762.730111,827.3784638,589.8682198,547.9469342,578.4439534,623.6279389,669.0575539,858.6847771,774.4855628,747.1582949,753.0431952,768.0480649,915.1828664,828.1306968,922.0340586,961.0128318,1081.09087,1155.728995,1323.873293,1471.337044,1032.955533,1029.616125,477.4373432,606.6579653,687.6935144,560.8032838,518.3868775,744.6204957,705.2822876,872.657638,982.8055896,1254.695488,1900.722637,2597.963585,3121.348735,4081.717497,3123.698754,3586.663902,4608.155096,5083.826781,5228.511165,5371.216648,4130.93008,3468.520268,4042.681382,3240.862207,2569.629757,1639.951023,2026.030952,3183.699796
Anguilla,621.1013162,725.2138501,850.8871227,957.808007,1049.881766,1140.561267,1086.473476,1210.224756,1392.992377,1604.181203,1847.946477,2128.818377,2451.399758,2822.171781,3232.101385,3927.385315,4892.49792,5881.492091,7092.885894,8497.680716,9091.120776,9019.390825,9502.691114,10097.69583,10984.37984,10804.75726,11106.28773,12107.47193,13310.05231,13738.20773,13599.87183,13657.27208,13635.74731,14535.6015,16851.4331,18881.46014,22969.87454,28314.525,27954.38015,21967.60332,20325.822,21781.72795,20818.37805,20569.48021,22047.42288,22756.28077,21619.84951,18718.31872,21240.7322,24495.01517,16582.65901,19106.06093,28561.285
Antigua and Barbuda,524.9131699,635.4283239,871.8678298,1215.586135,1300.717871,1333.904761,1109.562071,1260.56483,1422.431223,1744.067356,2071.994015,2337.246877,2583.524364,2862.96832,3242.319073,3763.049742,4488.20529,5239.446088,6230.456019,6895.409773,7255.406303,7569.969001,7721.763119,8129.144121,8788.013323,8440.034526,9079.481212,9556.832802,10029.47775,10379.1604,10443.50193,10152.41969,10396.13485,10758.83825,11380.08836,12708.078,14203.91774,15879.69285,16457.10406,14530.59869,13404.51602,13117.14694,13686.47659,13350.14914,14004.81121,14861.88271,15862.65166,16110.3124,17514.35586,18187.77971,15303.27811,16740.3482,18880.02888
Argentina,1425.357894,1678.388787,1556.526579,1724.205313,1907.094439,1996.493745,2080.525773,2304.812606,2349.440726,2679.667129,2917.571607,2973.269614,3009.445162,3205.565682,3336.14212,3154.143936,3731.417534,3777.47395,4339.181337,2581.765305,4693.526965,6210.082556,7385.823249,7540.225857,8097.348546,8003.792851,8336.707754,8865.669983,8945.805214,8387.032495,8312.430527,7772.969216,2918.925923,3669.040649,4291.515837,5134.876718,5937.434933,7266.384194,9078.970897,8267.539947,10376.79218,12768.51464,13859.31173,14469.00385,13241.39338,14908.6213,12767.45535,14609.78337,11816.64954,10006.69311,8565.153126,10775.99984,13867.91327
Aruba,3343.551506,3539.15472,3725.350305,3890.23159,4052.355158,4220.081349,4410.32429,4624.873192,4849.875669,5086.334202,5335.020756,5588.278658,5839.363116,6095.886644,6371.720739,6679.742664,7027.652952,8464.825793,10372.96308,12043.26906,13023.5002,14378.75156,15277.87268,16745.44995,18657.27256,17961.48857,18207.52743,19609.82952,20688.00647,20782.6195,21026.16709,20911.19277,21375.26912,22050.58987,24105.52412,24978.21576,25832.91972,27665.31102,29011.61625,25740.77023,24452.59431,26043.16736,25611.15935,26514.86355,26940.25872,28419.2431,28449.72893,29329.09234,30918.48358,31902.75733,24008.12782,29127.75939,33300.83882
Australia,3590.037728,3884.0307,4466.183034,6349.496844,7458.406447,7857.260452,8374.850181,8207.700253,9468.198924,10362.21602,11796.30075,13535.42769,12666.30481,12514.22723,13264.99865,11541.03137,11954.29455,13977.43955,17411.17867,19052.62135,19017.00134,19090.46195,18682.1824,17996.27792,20360.36479,21780.25456,23919.69083,23754.31101,20999.4302,22740.69787,21565.3657,20326.2767,22404.079,28448.15593,34157.79194,37842.50733,40067.55454,47385.41133,49797.81139,46965.19661,59099.61139,69245.627,70036.82589,66820.50892,62402.63244,52321.00354,54054.21657,57489.80436,58327.72654,54407.64462,56001.55306,67616.30121,67866.79248
Austria,2059.268192,2381.629933,2924.947592,3891.702402,4631.85517,5286.897178,5679.783584,6812.731674,8207.461885,9796.750677,10871.76686,9387.82829,9413.5563,9540.601499,8994.376268,9175.795014,13087.40547,16398.14645,17581.44322,17469.16715,21679.08463,22408.17338,24879.01464,24081.36513,25650.48195,30331.6304,29814.47109,26708.14396,27364.39403,27176.72763,24567.92918,24545.43449,26412.63633,32226.88865,36826.497,38405.88962,40637.51535,46857.68803,51712.94948,47962.5208,46861.26507,51377.67067,48569.73487,50718.40733,51719.25091,44179.46845,45277.76947,47429.53584,51466.60314,50067.47296,48839.26898,53720.12527,52608.76064
